pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
Qual o principal foco do Desenvolvimento Organizacional (DO), segundo Chiavenato (2014)? ;Aumentar os lucros da empresa;Reduzir os custos operacionais;Mudar as pessoas, a natureza e a qualidade de suas relações de trabalho, com ênfase na transformação da cultura organizacional;Implementar novas tecnologias para aumentar a eficiência;Mudar as pessoas, a natureza e a qualidade de suas relações de trabalho, com ênfase na transformação da cultura organizacional
O que define o clima organizacional, de acordo com o texto? ;É a atmosfera psicológica característica de cada organização, relacionada ao moral e à satisfação dos participantes.;É o conjunto de regras e normas que regem o comportamento dos funcionários.;É a percepção que os clientes têm da organização.;É o resultado financeiro da empresa, que influencia o ambiente de trabalho.;É a atmosfera psicológica característica de cada organização, relacionada ao moral e à satisfação dos participantes.
Quais são os dois fatores que orientam o comportamento das pessoas no trabalho, segundo a Teoria dos Dois Fatores de Herzberg? ;Fatores de Crescimento e Fatores de Decadência;Fatores Higiênicos e Fatores Motivacionais;Fatores Internos e Fatores Externos;Fatores de Produtividade e Fatores de Insatisfação;Fatores Higiênicos e Fatores Motivacionais
De acordo com a hierarquia de necessidades de Maslow, qual necessidade se encontra no topo da pirâmide? ;Necessidades Fisiológicas;Necessidades Sociais;Necessidades de Segurança;Necessidades de Autorealização;Necessidades de Autorealização
No contexto da comunicação organizacional, qual a definição de "ruído"? ;Somente interferências sonoras que atrapalham a comunicação.;Qualquer interferência que atrapalhe a compreensão da mensagem, seja física, psicológica ou semântica.;Mensagens não verbais que contradizem a mensagem verbal.;Informações falsas que circulam na empresa.;Qualquer interferência que atrapalhe a compreensão da mensagem, seja física, psicológica ou semântica.
Quais são os dois tipos principais de comunicação organizacional, de acordo com o texto? ;Comunicação Formal e Comunicação Informal;Comunicação Interna e Comunicação Externa;Comunicação Verbal e Comunicação Não Verbal;Comunicação Ascendente e Comunicação Descendente;Comunicação Interna e Comunicação Externa
No âmbito da FAB, qual a definição de "Organização Militar (OM)"? ;Qualquer local onde haja a presença de militares.;Uma organização do Comando da Aeronáutica (COMAER), estruturada para o cumprimento de missões específicas.;Um grupo de militares com a mesma especialidade.;Uma base aérea utilizada para operações aéreas.;Uma organização do Comando da Aeronáutica (COMAER), estruturada para o cumprimento de missões específicas.
Quem são os beneficiários da Assistência Médico-Hospitalar (AMH) no contexto militar? ;Apenas militares na ativa.;Militares da ativa, seus dependentes e, em alguns casos, outros indivíduos especificados em lei.;Qualquer pessoa que precise de assistência médica.;Somente militares de alta patente e seus familiares.;Militares da ativa, seus dependentes e, em alguns casos, outros indivíduos especificados em lei.
O que é o Benefício Educação oferecido pelo Sistema de Serviço Social (SISESO) da Aeronáutica? ;Auxílio para pagamento de cursos de idiomas.;Auxílio para aquisição de material escolar, pagamento de mensalidades escolares para pessoas com deficiência e acompanhamento pedagógico e psicopedagógico.;Financiamento para cursos de graduação e pós-graduação.;Desconto em escolas particulares conveniadas.;Auxílio para aquisição de material escolar, pagamento de mensalidades escolares para pessoas com deficiência e acompanhamento pedagógico e psicopedagógico.
Quais as duas modalidades de transporte a que militares têm direito, segundo a legislação? ;Transporte aéreo e transporte marítimo.;Transporte público e transporte privado.;Transporte por conta da União e pagamento em espécie.;Transporte individual e transporte coletivo.;Transporte por conta da União e pagamento em espécie.
