"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que é a dispensa de licitação?";"Um procedimento licitatório simplificado";"Uma modalidade de licitação para contratos de baixo valor";"Uma autorização legal para a Administração Pública contratar diretamente, sem licitação, em casos específicos";"Uma forma de contratar empresas estrangeiras sem licitação";"Uma autorização legal para a Administração Pública contratar diretamente, sem licitação, em casos específicos"
"Qual a principal característica das situações em que a dispensa de licitação é permitida?";"Envolvem a contratação de serviços de natureza singular";"Exigem a participação de empresas com expertise internacional";"Envolvem a aquisição de bens e serviços de baixo valor";"Requerem a utilização de tecnologias inovadoras";"Envolvem a aquisição de bens e serviços de baixo valor"
"Qual o valor limite para a dispensa de licitação em obras e serviços de engenharia ou de serviços de manutenção de veículos automotores, conforme a Lei 14.133/21?";"R$ 50.000,00";"R$ 80.000,00";"R$ 100.000,00";"R$ 150.000,00";"R$ 100.000,00"
"Em que casos a dispensa de licitação por baixo valor NÃO se aplica?";"Aquisição de materiais de escritório";"Contratação de serviços de limpeza";"Obras de pequeno porte";"Prorrogações contratuais de serviço continuado";"Prorrogações contratuais de serviço continuado"
"Em qual plataforma os processos de dispensa de licitação devem ser publicados?";"Diário Oficial da União (DOU)";"Portal da Transparência";"Sistema de Cadastramento Unificado de Fornecedores (SICAF)";"Portal Nacional de Compras Públicas";"Portal Nacional de Compras Públicas"
"Qual Instrução Normativa regulamenta o planejamento da contratação de serviços sob regime de execução indireta, no âmbito da Administração Pública federal direta, autárquica e fundacional?";"Instrução Normativa SEGES/ME nº 67/2021";"Instrução Normativa SEGES/ME nº 98/2022";"Instrução Normativa SEGES/ME nº 58/2022";"Instrução Normativa MPDG nº 05/2017";"Instrução Normativa SEGES/ME nº 98/2022"
"Quais são as três etapas principais do planejamento da contratação?";"Estudo Técnico Preliminar, Termo de Referência e Gerenciamento de Riscos";"Análise de Mercado, Projeto Básico e Plano de Contratações Anual";"Pesquisa de Preços, Edital de Licitação e Contrato Administrativo";"Avaliação de Impactos Ambientais, Estudo de Viabilidade Técnica e Plano de Execução";"Estudo Técnico Preliminar, Termo de Referência e Gerenciamento de Riscos"
"O que deve ser elaborado para materializar o gerenciamento de riscos?";"Plano de Contingência";"Análise SWOT";"Matriz de Riscos";"Mapa de Riscos";"Mapa de Riscos"
"Qual documento descreve os bens ou serviços a serem contratados, as condições de aceitação do objeto e como se dará a gestão contratual?";"Projeto Básico";"Termo de Referência";"Estudo Técnico Preliminar";"Mapa de Riscos";"Termo de Referência"
"Onde podem ser encontrados os modelos de Termo de Referência para pregão e concorrência?";"Site do Tribunal de Contas da União (TCU)";"Portal da Transparência";"Site da Advocacia-Geral da União (AGU)";"Plataforma +Brasil";"Site da Advocacia-Geral da União (AGU)"
"Quando se inicia o processo de execução orçamentária?";"Após a aprovação da Lei Orçamentária Anual (LOA) pelo Congresso Nacional";"Após a sanção da Lei Orçamentária Anual (LOA) pelo Presidente da República";"Após a publicação da Lei Orçamentária Anual (LOA) e do cadastro da Nota de Dotação no SIAFI";"Após a liberação dos recursos financeiros pelo órgão central de planejamento";"Após a publicação da Lei Orçamentária Anual (LOA) e do cadastro da Nota de Dotação no SIAFI"
"O que caracteriza a execução orçamentária?";"A realização das despesas públicas preestabelecidas na Lei Orçamentária Anual";"A arrecadação das receitas públicas previstas na Lei Orçamentária Anual";"A elaboração do projeto de Lei Orçamentária Anual";"A aprovação do orçamento pelo Congresso Nacional";"A realização das despesas públicas preestabelecidas na Lei Orçamentária Anual"
"Quais são os três estágios da despesa pública, de acordo com a Lei nº 4.320/64?";"Empenho, liquidação e pagamento";"Fixação, arrecadação e recolhimento";"Planejamento, execução e controle";"Autorização, empenho e pagamento";"Empenho, liquidação e pagamento"
"O que é o empenho da despesa?";"O ato administrativo que cria a obrigação de pagamento";"A transferência dos recursos financeiros para a conta do credor";"A verificação da regularidade da despesa";"O pagamento da despesa ao credor";"O ato administrativo que cria a obrigação de pagamento"
"O que ocorre na fase de liquidação da despesa?";"A verificação do direito adquirido pelo credor, tendo por base os títulos e documentos comprobatórios do respectivo crédito";"A emissão da ordem de pagamento";"O pagamento da despesa ao credor";"A reserva de recursos orçamentários para a cobertura da despesa";"A verificação do direito adquirido pelo credor, tendo por base os títulos e documentos comprobatórios do respectivo crédito"
"Qual é o primeiro estágio da despesa pública?";"Empenho";"Liquidação";"Pagamento";"Apropriação";"Empenho"
"Qual documento registra contabilmente o empenho da despesa no SIAFI?";"Nota de Lançamento";"Ordem de Pagamento";"Nota de Empenho";"Comprovante de Liquidação";"Nota de Empenho"
"Qual a finalidade do estágio de liquidação da despesa?";"Criar a obrigação de pagamento para a Administração Pública";"Comprovar que o beneficiário do empenho cumpriu com suas obrigações";"Realizar o pagamento ao credor";"Verificar a disponibilidade de recursos orçamentários";"Comprovar que o beneficiário do empenho cumpriu com suas obrigações"
"Em qual estágio ocorre a efetiva transferência de recursos para o credor?";"Empenho";"Liquidação";"Pagamento";"Apropriação";"Pagamento"
"Em qual fase da despesa pública são calculados e deduzidos os impostos devidos?";"Empenho";"Liquidação";"Pagamento";"Apropriação";"Pagamento"
