pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Quem é o responsável pela decisão final sobre o destino de um bem móvel permanente?";"Ordenador de Despesas";"Comissão de Avaliação";"Gestor Patrimonial";"Dirigente Máximo da UG";"Dirigente Máximo da UG"
"Qual documento é utilizado para registrar a avaliação de um bem móvel permanente que será alienado?";"Termo de Exame de Material";"Termo de Avaliação";"Relatório de Inservibilidade";"Laudo de Engenharia";"Termo de Avaliação"
"Em qual sistema a documentação relativa à alienação de bens patrimoniais deve ser arquivada?";"SILOMS";"SIAFI";"SIGA";"SPIUnet";"SILOMS"
"Para qual finalidade a doação de um bem móvel permanente inservível é permitida?";"Venda para empresas privadas";"Doação para fins e uso de interesse social";"Utilização em outras unidades da administração pública";"Empréstimo para órgãos militares";"Doação para fins e uso de interesse social"
"Qual o destino dos valores arrecadados com a alienação de bens móveis permanentes?";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"Fundo de Amparo ao Trabalhador";"Fundo Aeronáutico";"Fundo de Garantia do Tempo de Serviço";"Fundo Aeronáutico"
"Qual a condição para que os bens móveis inservíveis ou excluídos sejam alienados?";"Se tiverem valor superior a R$ 10.000,00";"Se não tiverem aplicação na OM e não houver interessados de outras UG";"Se tiverem sido adquiridos há mais de 5 anos";"Se tiverem sofrido danos irreparáveis";"Se não tiverem aplicação na OM e não houver interessados de outras UG"
"Qual lei deve ser observada no processo de alienação de bens móveis permanentes?";"Lei nº 8.666, de 1993";"Lei nº 10.520, de 2002";"Lei nº 14.133, de 2021";"Decreto-Lei nº 200, de 1967";"Lei nº 8.666, de 1993"
"Quem é responsável pela avaliação de um bem móvel permanente a ser alienado?";"Comissão de licitação";"Comissão de avaliação, designada especificamente para essa finalidade";"Gestor Patrimonial da UG";"Ordenador de Despesas da UG";"Comissão de avaliação, designada especificamente para essa finalidade"
"Qual documento registra o resultado da avaliação do bem móvel permanente a ser alienado?";"Termo de Vistoria";"Relatório de Avaliação Patrimonial";"Laudo Técnico de Avaliação";"Termo de Avaliação";"Termo de Avaliação"
"Para onde se destinam os valores arrecadados com a alienação de bens móveis permanentes?";"Tesouro Nacional";"Fundo de Investimentos do COMAER";"Fundo Aeronáutico";"Orçamento da UG responsável pelo bem";"Fundo Aeronáutico"
