 pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"Qual a principal função do método PERT na gestão de projetos?";"Definir o orçamento detalhado do projeto.";"Gerenciar os riscos e as incertezas do projeto.";"Controlar o escopo e os requisitos do projeto.";"Gerenciar o cronograma e os prazos do projeto.";"Gerenciar o cronograma e os prazos do projeto."
"O PERT é frequentemente usado em conjunto com qual outro método de gestão de projetos?";"Scrum";"Kanban";"CPM (Critical Path Method)";"PRINCE2";"CPM (Critical Path Method)"
"Qual instituição teve um papel fundamental no desenvolvimento do método PERT?";"Exército dos Estados Unidos";"Marinha dos Estados Unidos";"Força Aérea Brasileira";"NASA (National Aeronautics and Space Administration)";"Marinha dos Estados Unidos"
"No contexto do PERT, o que representa uma 'tarefa fictícia'?";"Uma atividade essencial para o projeto, mas com duração zero.";"Uma atividade que não precisa ser realizada, mas está no cronograma.";"Uma representação gráfica para indicar a dependência entre etapas.";"Uma tarefa de alta prioridade que deve ser executada imediatamente.";"Uma representação gráfica para indicar a dependência entre etapas."
"Quais são os três elementos que compõem a rede PERT?";"Objetivo, atividade e resultado.";"Início, meio e fim.";"Tarefa, etapa e tarefa fictícia.";"Planejamento, execução e controle.";"Tarefa, etapa e tarefa fictícia."
"O Extreme Programming (XP) é uma metodologia ágil de desenvolvimento de software conhecida por sua natureza:";"Rígida e inflexível, priorizando o plano inicial.";"Burocrática, com ênfase em documentação extensa.";"Iterativa e incremental, com foco na adaptabilidade e velocidade.";"Tradicional, com fases sequenciais e isolamento das equipes.";"Iterativa e incremental, com foco na adaptabilidade e velocidade."
"Qual das alternativas abaixo NÃO representa um dos valores fundamentais do XP?";"Simplicidade";"Comunicação";"Coragem";"Individualismo";"Individualismo"
"No XP, o feedback do cliente é:";"Evitado durante o desenvolvimento para não gerar atrasos.";"Incentivado apenas em momentos específicos, como ao final de cada fase.";"Considerado crucial e integrado continuamente ao processo.";"Formalizado através de documentos extensos e reuniões formais.";"Considerado crucial e integrado continuamente ao processo."
"Qual é o principal objetivo da prática de 'Programação em Pares' no XP?";"Dividir os programadores em equipes isoladas para evitar conflitos.";"Economizar custos com recursos humanos, utilizando menos desenvolvedores.";"Compartilhar conhecimento, melhorar a qualidade do código e evitar erros.";"Reduzir a necessidade de comunicação entre os membros da equipe.";"Compartilhar conhecimento, melhorar a qualidade do código e evitar erros."
"O XP é particularmente adequado para projetos que exigem:";"Estabilidade nos requisitos e um plano detalhado desde o início.";"Mudanças frequentes nos requisitos e rápida adaptação às necessidades do cliente.";"Documentação extensa e processos formais de desenvolvimento.";"Equipes grandes e dispersas geograficamente, com comunicação limitada.";"Mudanças frequentes nos requisitos e rápida adaptação às necessidades do cliente."
"O Kanban é um método de gestão visual originado em qual sistema de produção?";" Americano";"Europeu";"Japonês";"Chinês";"Japonês"
"Qual empresa foi pioneira na implementação do sistema Kanban?";"Ford";"Toyota";"General Motors";"Volkswagen";"Toyota"
"Qual é o principal objetivo do Kanban?";"Aumentar a burocracia e a documentação dos processos.";"Criar um sistema de gestão complexo e centralizado.";"Tornar visível o fluxo de trabalho, identificar gargalos e otimizar a produção.";"Priorizar o trabalho individual em detrimento da colaboração em equipe.";"Tornar visível o fluxo de trabalho, identificar gargalos e otimizar a produção."
"No Kanban, o uso de cartões (físicos ou digitais) serve para:";"Registrar o histórico completo de cada tarefa, desde o seu início até a sua conclusão.";"Determinar a ordem de prioridade das tarefas, com base em sua complexidade.";"Representar visualmente as tarefas e seu status dentro do processo de trabalho.";"Calcular o custo total de cada etapa do processo, considerando os recursos utilizados.";"Representar visualmente as tarefas e seu status dentro do processo de trabalho."
"Qual das alternativas abaixo NÃO representa um benefício do Kanban?";"Melhoria da comunicação e colaboração entre os membros da equipe.";" Maior visibilidade sobre o andamento do trabalho e os possíveis atrasos.";"Aumento da flexibilidade para lidar com as mudanças e imprevistos.";"Ênfase na hierarquia e na centralização das decisões.";"Ênfase na hierarquia e na centralização das decisões."
"Qual é o principal objetivo da Estrutura Analítica do Projeto (EAP)?";"Definir o orçamento detalhado do projeto.";"Gerenciar os riscos e as incertezas do projeto.";"Dividir o trabalho do projeto em partes menores e gerenciáveis.";"Estabelecer a comunicação entre as partes interessadas no projeto.";"Dividir o trabalho do projeto em partes menores e gerenciáveis."
"No contexto da EAP, o que são 'pacotes de trabalho'?";"Documentos que descrevem os objetivos do projeto.";"Reuniões para discutir o andamento das atividades.";"Grupos de tarefas atribuídas a um departamento específico.";"Ferramentas de software para gerenciar o cronograma do projeto.";"Grupos de tarefas atribuídas a um departamento específico."
"O Gráfico de Gantt é uma ferramenta visual utilizada para:";"Gerenciar os custos e os recursos do projeto.";"Controlar o escopo e os requisitos do projeto.";"Representar o cronograma do projeto e o andamento das tarefas.";"Definir a estrutura hierárquica das atividades do projeto.";"Representar o cronograma do projeto e o andamento das tarefas."
"No Gráfico de Gantt, as barras horizontais representam:","O custo de cada tarefa do projeto.";"A duração de cada tarefa do projeto.";"A quantidade de recursos alocados para cada tarefa.";"A sequência lógica entre as tarefas do projeto.";"A duração de cada tarefa do projeto."
"Qual das alternativas abaixo NÃO representa uma vantagem do uso conjunto da EAP e do Gráfico de Gantt?";"Melhor compreensão do escopo do projeto.";"Facilidade na identificação de dependências entre as tarefas.";"Visualização clara do cronograma e do andamento do projeto.";"Eliminação completa dos riscos e incertezas do projeto.";"Eliminação completa dos riscos e incertezas do projeto."
