"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual a principal diferença entre um grupo de trabalho tradicional e uma equipe?";"A localização física dos membros";"A existência de um líder";"A unidade de propósito e colaboração";"O número de pessoas envolvidas";"A unidade de propósito e colaboração"
"O que implica o conceito de 'equipe'?";"Individualismo e metas pessoais";"Competição entre os membros";"Unidade de propósito e colaboração";"Trabalho em silos e isolamento";"Unidade de propósito e colaboração"
"Em uma equipe, qual o foco principal?";"O desempenho individual dos membros";"A harmonia e o bom relacionamento";"O resultado obtido pelo time";"A divisão igualitária de tarefas";"O resultado obtido pelo time"
"Como se caracteriza a interdependência em uma equipe?";"Membros isolados que raramente interagem";"Competição constante por melhores resultados";"Forte dependência mútua e independência";"Trabalho individual sem necessidade de comunicação";"Forte dependência mútua e independência"
"Qual a importância da visão sistêmica em uma equipe?";"Concentrar-se nas tarefas individuais";"Priorizar o trabalho em silos";"Compreender a equipe como parte de um todo";"Enfatizar a hierarquia e a individualidade";"Compreender a equipe como parte de um todo"
"O que significa 'resultado' no contexto de trabalho em equipe?";"A soma dos esforços individuais";"O cumprimento das metas pessoais";"A entrega de um produto ou serviço conforme requisitos";"A satisfação individual dos membros da equipe";"A entrega de um produto ou serviço conforme requisitos"
"Como a comunicação contribui para o entrosamento de uma equipe?";"Define as metas individuais de cada membro";"Promove a competição e o individualismo";"Fortalece a hierarquia e a centralização de poder";"Esclarece papéis, responsabilidades e hierarquia";"Esclarece papéis, responsabilidades e hierarquia"
"Qual a diferença entre 'responsible' e 'accountable' no contexto de equipe?";"Ambos significam 'responsável' sem distinção";"Responsible se refere à execução da tarefa e accountable ao aceite";"Accountable se refere à execução da tarefa e responsible ao aceite";"Responsible se refere à liderança e accountable aos liderados";"Responsible se refere à execução da tarefa e accountable ao aceite"
"O que se espera de um ambiente de trabalho em equipe?";"Individualismo e foco em metas pessoais";"Competição acirrada entre os membros";"Clima organizacional positivo e colaborativo";"Comunicação vertical e centralizada no líder";"Clima organizacional positivo e colaborativo"
"Qual a importância do dinamismo e da coesão em uma equipe?";"Promovem a competição e a busca por reconhecimento individual";"Fortalecem a hierarquia e a centralização de poder";"Cria um senso de responsabilidade compartilhada e pertencimento";"Desestimulam a comunicação e a interação entre os membros";"Cria um senso de responsabilidade compartilhada e pertencimento"
"Para que serve um plano de comunicações em uma equipe?";"Estabelecer metas individuais e responsabilidades";"Definir a hierarquia e os canais de comunicação vertical";"Documentar as interações e decisões da equipe, especialmente em atividades de risco";"Centralizar a comunicação na figura do líder, evitando ruídos";"Documentar as interações e decisões da equipe, especialmente em atividades de risco"
"Como a confiança impacta o trabalho em equipe?";"Gera competição e desconfiança entre os membros";"Fortalece o individualismo e a busca por resultados pessoais";"Cria um ambiente de colaboração e segurança, fundamental para o sucesso";"Diminui a importância da comunicação e da interação entre os membros";"Cria um ambiente de colaboração e segurança, fundamental para o sucesso"
"Como lidar com a resistência a mudanças em uma equipe?";"Impor as mudanças de cima para baixo, sem consultar a equipe";"Ignorar a resistência e seguir com o plano original";"Comunicar as mudanças de forma transparente e ouvir os membros";"Minimizar a importância das mudanças e evitar o diálogo";"Comunicar as mudanças de forma transparente e ouvir os membros"
"Qual o objetivo dos treinamentos para uma equipe?";"Reforçar a hierarquia e os papéis individuais";"Desenvolver habilidades técnicas e ampliar a capacidade de solucionar problemas";"Promover a competição e o individualismo entre os membros";"Criar um ambiente de trabalho mais rígido e disciplinado";"Desenvolver habilidades técnicas e ampliar a capacidade de solucionar problemas"
"Como solucionar conflitos de forma construtiva em uma equipe?";"Ignorar os conflitos e esperar que se resolvam com o tempo";"Estimular a competição e a busca por soluções individuais";"Incentivar o diálogo e a busca por soluções em conjunto, mediado pela liderança";"Punir os membros envolvidos para servir de exemplo aos demais";"Incentivar o diálogo e a busca por soluções em conjunto, mediado pela liderança"
"Por que desafios, oportunidades e elementos motivacionais são importantes para uma equipe?";"Criam um ambiente de trabalho mais competitivo e individualista";"Reforçam a hierarquia e a importância da liderança centralizada";"Estimulam o engajamento, a busca por aprimoramento e o alcance de resultados";"Diminuem a necessidade de comunicação e interação entre os membros";"Estimulam o engajamento, a busca por aprimoramento e o alcance de resultados"
"O que são habilidades 'não técnicas' (soft skills)?";"Habilidades específicas para a execução de tarefas técnicas";"Conhecimentos teóricos sobre o funcionamento da organização";"Habilidades comportamentais e emocionais que impactam a interação social";"Capacidade de seguir ordens e cumprir tarefas de forma eficiente";"Habilidades comportamentais e emocionais que impactam a interação social"
"O que é importante definir em relação às metas, objetivos e prioridades de uma equipe?";"As metas individuais de cada membro, promovendo a competição";"A hierarquia da equipe e os responsáveis por cada tarefa";"O consenso sobre a importância do resultado esperado e como alcançá-lo";"A divisão igualitária de tarefas, independente das habilidades de cada membro";"O consenso sobre a importância do resultado esperado e como alcançá-lo"
"Como a divisão de papéis e funções contribui para o trabalho em equipe?";"Define as responsabilidades individuais e a hierarquia da equipe";"Promove a autonomia e a independência dos membros, evitando conflitos";"Estimula a competição e a busca por melhores resultados individuais";"Organiza o trabalho e evita a sobrecarga ou a inatividade de membros da equipe";"Organiza o trabalho e evita a sobrecarga ou a inatividade de membros da equipe"
"O que são ajustes interpessoais no contexto de equipe?";"A imposição de limites e regras para evitar conflitos";"A promoção de atividades sociais para integrar a equipe";"A intervenção da liderança para mediar conflitos e melhorar o relacionamento";"A busca por consenso, mesmo que alguns membros tenham que ceder";"A intervenção da liderança para mediar conflitos e melhorar o relacionamento"
