"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual é uma das principais finalidades da Avaliação de Desempenho?";"Identificar funcionários para demissão";"Punir funcionários com baixo desempenho";"Analisar a produtividade passada para avaliar a contribuição das pessoas para o alcance dos objetivos da organização";"Criar um ambiente de trabalho hostil e competitivo";"Analisar a produtividade passada para avaliar a contribuição das pessoas para o alcance dos objetivos da organização"
"De acordo com o dicionário Oxford Languages, o que significa 'desempenho'?";"Atitude negativa perante o trabalho";"Falta de vontade de se desenvolver profissionalmente";"Cumprimento de obrigação ou de promessas";"Comportamento inadequado no ambiente de trabalho";"Cumprimento de obrigação ou de promessas"
"Qual a importância da autoavaliação no processo de Avaliação de Desempenho?";"Serve para o funcionário se comparar aos colegas";"É irrelevante no processo de avaliação";"Permite ao funcionário ter evidências para conversas de carreira com o líder";"Serve apenas para diminuir a responsabilidade do líder";"Permite ao funcionário ter evidências para conversas de carreira com o líder"
"A Avaliação de Desempenho pode ser estruturada de duas formas principais. Quais são elas?";"Salário e benefícios";"Tempo de serviço e idade";"Cargo ocupado e competências oferecidas";"Nível de escolaridade e experiência profissional";"Cargo ocupado e competências oferecidas"
"Qual a importância do feedback no processo de Avaliação de Desempenho?";"É uma forma de punir os funcionários por erros";"É irrelevante, pois os funcionários já sabem seus pontos fracos";"Serve apenas para formalizar a avaliação";"É uma estratégia positiva para o alcance das metas, permitindo que os funcionários saibam como estão caminhando";"É uma estratégia positiva para o alcance das metas, permitindo que os funcionários saibam como estão caminhando"
"O método de Avaliação de Desempenho 'Escalas Gráficas' utiliza um formulário. O que representam as linhas horizontais nesse formulário?";"Fatores de avaliação de desempenho";"Graus de variação dos fatores";"Nomes dos funcionários";"Datas das avaliações";"Fatores de avaliação de desempenho"
"Qual é a principal característica do método de Avaliação de Desempenho 'Escolha Forçada'?";"Permite uma análise aprofundada dos pontos fortes do avaliado";"É um processo simples que não exige muito do avaliador";"Envolve a participação de todos os colegas e superiores";"Diminui a subjetividade do avaliador, mas sua elaboração é complexa";"Diminui a subjetividade do avaliador, mas sua elaboração é complexa"
"O método de Avaliação de Desempenho 'Pesquisa de Campo' busca:";"Coletar informações superficiais sobre o funcionário";"Identificar apenas os pontos negativos do funcionário";"Comparar o desempenho do funcionário com o de seus colegas";"Descobrir as causas, origens e motivos do desempenho do subordinado";"Descobrir as causas, origens e motivos do desempenho do subordinado"
"No método de Avaliação de Desempenho 'Incidentes Críticos', o que se avalia?";"A frequência do funcionário ao trabalho";"O relacionamento do funcionário com os colegas";"A capacidade do funcionário de cumprir prazos";"Os pontos fortes e fracos de cada funcionário com base em características extremas de desempenho";"Os pontos fortes e fracos de cada funcionário com base em características extremas de desempenho"
"Qual é a principal característica do método de Avaliação de Desempenho 'Lista de Verificação'?";"É um método complexo que exige softwares específicos";"Permite uma análise profunda do potencial do funcionário";"É um método antigo que possibilita a avaliação individual por meio de um checklist";"É utilizado apenas para avaliar funcionários em cargos de liderança";"É um método antigo que possibilita a avaliação individual por meio de um checklist"
"No método de Avaliação de Desempenho '360º', quem participa do processo?";"Apenas o superior imediato";"Apenas os colegas de trabalho";"Apenas o funcionário e seu superior";"Todas as pessoas da organização que têm interação com o avaliado";"Todas as pessoas da organização que têm interação com o avaliado"
"Qual a finalidade da Avaliação de Desempenho de Graduados da Aeronáutica?";"Fornecer informações para a apreciação do mérito quanto à permanência no serviço ativo";"Punir os graduados com baixo desempenho";"Criar um ranking de melhores e piores graduados";"Substituir a necessidade de treinamentos e desenvolvimento";"Fornecer informações para a apreciação do mérito quanto à permanência no serviço ativo"
"O que é a Ficha CPG-1?";"Um documento que registra as faltas e atrasos do graduado";"Um formulário para solicitação de férias";"Um relatório sobre o histórico familiar do graduado";"Um documento eletrônico que retrata o desempenho do graduado, preenchido anualmente";"Um documento eletrônico que retrata o desempenho do graduado, preenchido anualmente"
"O processo de Avaliação de Desempenho de Graduados da Aeronáutica NÃO se resume apenas ao preenchimento da Ficha CPG-1. Quais outras etapas são importantes?";"Realização de provas teóricas e práticas";"Análise do histórico escolar do graduado";"Entrevistas com familiares e amigos";"Planejamento de tarefas, acompanhamento do desempenho e feedback contínuo";"Planejamento de tarefas, acompanhamento do desempenho e feedback contínuo"
"Quais são os objetivos da Avaliação de Desempenho de Graduados da Aeronáutica?";"Criar um ambiente de competição entre os graduados";"Diminuir a necessidade de investimento em treinamento";"Substituir os processos de promoção por antiguidade";"Fornecer orientação constante sobre o desempenho do graduado, buscando melhorias";"Fornecer orientação constante sobre o desempenho do graduado, buscando melhorias"
"Na Ficha CPG-1, o Conceito Profissional é avaliado por meio de diversos fatores. Qual alternativa NÃO representa um desses fatores?";"Qualidade do trabalho";"Planejamento";"Adaptabilidade";"Estado civil";"Estado civil"
"Qual a finalidade do campo 'Punição e/ou Justiça' na Ficha CPG-1?";"Registrar o histórico criminal do graduado antes de ingressar na Aeronáutica";"Indicar se o graduado já foi processado judicialmente por qualquer motivo";"Registrar as punições publicadas dentro do PPA e os envolvimentos com a justiça ocorridos no período";"Informar se o graduado tem alguma pendência financeira com a Aeronáutica";"Registrar as punições publicadas dentro do PPA e os envolvimentos com a justiça ocorridos no período"
"O Conceito Moral na Ficha CPG-1 avalia:";"A capacidade do graduado de realizar tarefas complexas";"O nível de conhecimento técnico do graduado";"A quantidade de cursos que o graduado já realizou";"O caráter e a conduta do graduado como militar e cidadão";"O caráter e a conduta do graduado como militar e cidadão"
"O que é o erro de 'Cristalização de Julgamento' no processo de avaliação?";"O avaliador usa apenas informações recentes, ignorando o desempenho passado";"O avaliador se baseia em suas impressões pessoais, sem considerar os fatos";"O avaliador não acompanha o desempenho do graduado de perto e se baseia em impressões remotas";"O avaliador é excessivamente rigoroso, sem levar em conta os pontos positivos";"O avaliador não acompanha o desempenho do graduado de perto e se baseia em impressões remotas"
"No erro de avaliação 'Halo', o avaliador:";"Considera apenas os pontos negativos, ignorando os positivos";"Realiza a avaliação com base em uma impressão geral, influenciada por opiniões e preconceitos";"Utiliza a mesma avaliação para todos os graduados, sem individualizar";"Evita dar feedback negativo por medo de represálias";"Realiza a avaliação com base em uma impressão geral, influenciada por opiniões e preconceitos"
